1 	 [0.627543] 	 [-24.40475872] 
2 	 [2.69581433] 	 [4.76559578] 
3 	 [282.55714063] 	 [-1.20505276] 
4 	 [287.060134] 	 [22.36729782] 
1 	 [142.08] 	   [0.95610357] 
2 	 [72.] 	   [1.48845407] 
3 	 [212.16] 	   [-0.20953018] 
4 	 [37.44] 	   [1.91330752] 
5 	 [106.56] 	   [1.00107503] 
6 	 [247.68] 	   [-0.83557958] 
7 	 [176.64] 	   [0.48275728] 
8 	 [20.16] 	   [2.87415926] 
9 	 [123.84] 	   [0.63974944] 
10 	 [230.4] 	   [-0.77063666] 
11 	 [193.92] 	   [0.07251063] 
12 	 [54.72] 	   [1.73819897] 
13 	 [264.96] 	   [-1.20572224] 
14 	 [89.28] 	   [1.23973801] 
15 	 [159.36] 	   [0.7801036] 
