1 	 [1.6] 	 [-0.07431889] 
2 	 [3.] 	 [4.79462663] 
3 	 [284.16] 	 [-0.44419492] 
4 	 [285.] 	 [0.20842324] 
1 	 [143.04] 	   [0.97432837] 
2 	 [72.96] 	   [1.32225142] 
3 	 [213.12] 	   [-0.22382955] 
4 	 [37.44] 	   [1.91907318] 
5 	 [248.64] 	   [-0.95256549] 
6 	 [107.52] 	   [1.24382872] 
7 	 [177.6] 	   [-0.78928838] 
8 	 [54.72] 	   [1.69107806] 
9 	 [266.88] 	   [-1.55742255] 
10 	 [231.36] 	   [-0.18969174] 
11 	 [124.8] 	   [0.91229702] 
12 	 [20.16] 	   [2.51101898] 
13 	 [195.84] 	   [-0.18007668] 
14 	 [90.24] 	   [1.65850637] 
15 	 [160.32] 	   [0.50088885] 
