#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  100
#! SET periodic_psi true
#THIS IS THE FINAL FES WITH A REFERENCE BLOCK, SO THE AVERAGE OF THE LAST 1000 FES


-3.141592653999969009e+00 -3.141592653999969009e+00 3.870416596366787587e+00 -1.102653948760196201e+01 3.431314444796008445e+00
-3.078760801000035130e+00 -3.141592653999969009e+00 3.236686500678359835e+00 -9.147895478109006717e+00 3.240817092854003878e+00
-3.015928946999945293e+00 -3.141592653999969009e+00 2.719645097083905227e+00 -7.312452664703030791e+00 3.090014910456975183e+00
-2.953097093999986988e+00 -3.141592653999969009e+00 2.312475663113289670e+00 -5.696138232257960787e+00 2.981555469935995628e+00
-2.890265241000027796e+00 -3.141592653999969009e+00 1.996727062021250276e+00 -4.439280796811021723e+00 3.047057676902007461e+00
-2.827433387999951364e+00 -3.141592653999969009e+00 1.749376928792521824e+00 -3.435222041996990328e+00 3.214543483829009229e+00
-2.764601535000068555e+00 -3.141592653999969009e+00 1.559810814285981451e+00 -2.607520845313971325e+00 3.446945602121004981e+00
-2.701769681999986794e+00 -3.141592653999969009e+00 1.421510008978955852e+00 -1.786953626527009842e+00 3.715690157962011853e+00
-2.638937829000033375e+00 -3.141592653999969009e+00 1.333853494124369377e+00 -9.934940259010008878e-01 3.925607443767013649e+00
-2.576105975999960940e+00 -3.141592653999969009e+00 1.298538723749430801e+00 -1.183519887239988660e-01 4.020381055740998910e+00
-2.513274122999976878e+00 -3.141592653999969009e+00 1.319421467151521199e+00 7.761346374819986238e-01 4.058934191730958929e+00
-2.450442270000012801e+00 -3.141592653999969009e+00 1.391206537416913136e+00 1.493500445251992215e+00 3.958393022992990229e+00
-2.387610416999951468e+00 -3.141592653999969009e+00 1.502093781317270782e+00 1.964573545878004035e+00 3.776024895035977824e+00
-2.324778564000050451e+00 -3.141592653999969009e+00 1.633961698804846208e+00 2.170887079040002554e+00 3.626780134698991631e+00
-2.261946711000003774e+00 -3.141592653999969009e+00 1.771262214999964613e+00 2.158786738062024924e+00 3.491052158566003261e+00
-2.199114858000019712e+00 -3.141592653999969009e+00 1.900797517646729773e+00 1.988358608521005211e+00 3.376755460127026875e+00
-2.136283003999996488e+00 -3.141592653999969009e+00 2.019384069470113729e+00 1.816365672616000460e+00 3.380770809326011594e+00
-2.073451150999975567e+00 -3.141592653999969009e+00 2.129523532129944385e+00 1.714486322603008039e+00 3.435440739415993150e+00
-2.010619297999981292e+00 -3.141592653999969009e+00 2.243868376013210764e+00 1.922707265509991270e+00 3.560575766694006994e+00
-1.947787444999960371e+00 -3.141592653999969009e+00 2.375661190577098125e+00 2.242113363513019042e+00 3.768422409867000500e+00
-1.884955592000037816e+00 -3.141592653999969009e+00 2.526329559964757721e+00 2.574012405995986796e+00 4.006676415983002393e+00
-1.822123739000014231e+00 -3.141592653999969009e+00 2.698737717318998364e+00 2.887125508791974937e+00 4.275242511321004635e+00
-1.759291886000024174e+00 -3.141592653999969009e+00 2.888544561384193798e+00 3.110229084093997010e+00 4.604573968568029585e+00
-1.696460032999994372e+00 -3.141592653999969009e+00 3.087399809087237657e+00 3.204678048869984863e+00 4.888131585638001653e+00
-1.633628179999974339e+00 -3.141592653999969009e+00 3.288554827428448846e+00 3.219158918868974428e+00 5.123124457279993216e+00
-1.570796326999984505e+00 -3.141592653999969009e+00 3.492045908077876959e+00 3.229539504414995044e+00 5.327249107907007897e+00
-1.507964473999968025e+00 -3.141592653999969009e+00 3.697376810591272545e+00 3.331527464837015451e+00 5.620335364860982175e+00
-1.445132621000018824e+00 -3.141592653999969009e+00 3.914451822778083567e+00 3.585121265335009522e+00 5.926110300828002941e+00
-1.382300768000029434e+00 -3.141592653999969009e+00 4.152864012838044516e+00 4.069968421166985095e+00 6.272474810777011633e+00
-1.319468915000011622e+00 -3.141592653999969009e+00 4.432117588869687097e+00 4.828348570000985163e+00 6.720404666636037305e+00
-1.256637060999993283e+00 -3.141592653999969009e+00 4.764502908055149533e+00 5.777177415680986527e+00 7.245285814475993291e+00
-1.193805207999977691e+00 -3.141592653999969009e+00 5.158775008954002317e+00 6.800394991437987535e+00 7.838607240076005844e+00
-1.130973355000006064e+00 -3.141592653999969009e+00 5.622622862358049645e+00 7.950730481589991960e+00 8.418403584658978644e+00
-1.068141501999998244e+00 -3.141592653999969009e+00 6.161967650506852578e+00 9.194605694173974442e+00 9.000366086388025266e+00
-1.005309648999990646e+00 -3.141592653999969009e+00 6.777172597388052111e+00 1.041367416647999100e+01 9.560507761262002191e+00
-9.424777960000189081e-01 -3.141592653999969009e+00 7.468316385481152508e+00 1.157464501906394538e+01 1.007836770313699937e+01
-8.796459430000120872e-01 -3.141592653999969009e+00 8.232348081309844190e+00 1.273611019472388151e+01 1.054439249921800048e+01
-8.168140899999871696e-01 -3.141592653999969009e+00 9.070421061260923068e+00 1.393614292241398012e+01 1.099508823929898682e+01
-7.539822369999840124e-01 -3.141592653999969009e+00 9.982990531170464976e+00 1.514155170372509396e+01 1.140792429145713527e+01
-6.911503840000147170e-01 -3.141592653999969009e+00 1.097011231139060072e+01 1.630904367979184144e+01 1.196692787209505227e+01
-6.283185309999932411e-01 -3.141592653999969009e+00 1.203165699491630392e+01 1.744714558547806504e+01 1.265770881421505578e+01
-5.654866780000047388e-01 -3.141592653999969009e+00 1.316048036240682961e+01 1.846021172949402711e+01 1.353000301401107563e+01
