# phi psi FES dF/dphi dF/dpsi
2.513274119999963641e-01 -3.141592653999969009e+00 1.922544647143082841e+01 -1.915967592627805516e+01 -7.469878826482998058e+00
3.141592650000006315e-01 -3.141592653999969009e+00 1.795227587443964978e+01 -2.115023347720108760e+01 -8.568535900846971032e+00
3.769911179999962392e-01 -3.141592653999969009e+00 1.659787210031697668e+01 -2.175574203818795738e+01 -8.784222545504016821e+00
4.398229720000016441e-01 -3.141592653999969009e+00 1.524278355359802362e+01 -2.122431660771093931e+01 -8.362791732997054694e+00
5.026548249999909235e-01 -3.141592653999969009e+00 1.394185536108709300e+01 -2.005568092290490867e+01 -7.555101336123015265e+00
5.654866780000047388e-01 -3.141592653999969009e+00 1.273349615779476807e+01 -1.833848717369396297e+01 -6.758683209943031400e+00
6.283185309999932411e-01 -3.141592653999969009e+00 1.164169314775379149e+01 -1.641514120899508100e+01 -6.175138758254052007e+00
6.911503840000147170e-01 -3.141592653999969009e+00 1.067376221150388460e+01 -1.437878993648095438e+01 -5.677811669987975485e+00
7.539822369999840124e-01 -3.141592653999969009e+00 9.837975074118297414e+00 -1.220166235748194339e+01 -5.402846759807011345e+00
8.168140899999871696e-01 -3.141592653999969009e+00 9.141217636325919216e+00 -9.925917163970991552e+00 -5.203544369276003501e+00
8.796459430000120872e-01 -3.141592653999969009e+00 8.586167901687900894e+00 -7.687666795122011010e+00 -4.980807914550020143e+00
9.424777960000189081e-01 -3.141592653999969009e+00 8.178892690187815617e+00 -5.236952739798004686e+00 -4.557943871633025168e+00
1.005309648999990646e+00 -3.141592653999969009e+00 7.926725157863153015e+00 -2.762812152091998374e+00 -4.036618105889019148e+00
1.068141501999998244e+00 -3.141592653999969009e+00 7.832071265352162470e+00 -3.006299613030016249e-01 -3.370124146160988321e+00
1.130973355000006064e+00 -3.141592653999969009e+00 7.888555375958972604e+00 2.076717293811990217e+00 -2.745297551877004416e+00
1.193805207999977691e+00 -3.141592653999969009e+00 8.089122259876198484e+00 4.228470703812990727e+00 -2.136091215372001084e+00
1.256637060999993283e+00 -3.141592653999969009e+00 8.417292694747075643e+00 6.114516874169979133e+00 -1.734972332669995954e+00
1.319468915000011622e+00 -3.141592653999969009e+00 8.853603320043177405e+00 7.731487176316043985e+00 -1.540323926978002023e+00
