#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  60
#! SET periodic_phi true
   -3.141592654  -69.251397923  -47.260005464
   -3.036872898  -73.714455508  -37.886715669
   -2.932153143  -77.190385744  -28.525228021
   -2.827433388  -79.715039432  -19.837770296
   -2.722713633  -81.375107607  -12.022006168
   -2.617993878  -82.266005439   -5.155909073
   -2.513274123  -82.492078588    0.623658891
   -2.408554368  -82.184317072    5.034981913
   -2.303834613  -81.505135061    7.543289212
   -2.199114858  -80.681628477    7.757928277
   -2.094395102  -79.955559500    5.756592187
   -1.989675347  -79.536824062    1.974046411
   -1.884955592  -79.585330520   -3.020780581
   -1.780235837  -80.179161308   -8.305584489
   -1.675516082  -81.289504532  -12.522897769
   -1.570796327  -82.704047273  -13.777369791
   -1.466076572  -83.999367396  -10.060077692
   -1.361356817  -84.635521615   -1.285611446
   -1.256637061  -84.155550603   10.767303536
   -1.151917306  -82.386970968   22.760555221
   -1.047197551  -79.492717861   31.851053532
   -0.942477796  -75.855787635   37.050553357
   -0.837758041  -71.826025261   39.592689244
   -0.733038286  -67.602122087   40.928708539
   -0.628318531  -63.283907363   41.386076659
   -0.523598776  -58.999386522   39.980712530
   -0.418879020  -55.016913828   35.485034111
   -0.314159265  -51.687905836   27.585976225
   -0.209439510  -49.324585070   17.299253863
   -0.104719755  -48.109457398    5.877628525
   -0.000000000  -48.084668056   -5.337055915
    0.104719755  -49.205870008  -15.985827239
    0.209439510  -51.406864080  -25.854851942
    0.314159265  -54.562067784  -34.096312232
    0.418879020  -58.457882146  -39.752320395
    0.523598776  -62.767981303  -41.947409298
    0.628318531  -67.110483685  -40.356378495
    0.733038286  -71.110700129  -35.483135863
    0.837758041  -74.440234379  -27.555130336
    0.942477796  -76.764657844  -16.269262137
    1.047197551  -77.729561325   -1.609845907
    1.151917306  -77.000574018   15.944485829
    1.256637061  -74.345428429   34.783078412
    1.361356817  -69.760683671   52.335624096
    1.466076572  -63.514284772   66.196367527
    1.570796327  -56.081940953   74.774586976
    1.675516082  -48.069059880   77.229277745
    1.780235837  -40.138677970   73.155634539
    1.884955592  -32.980784119   62.547014054
    1.989675347  -27.243556829   46.132281642
    2.094395102  -23.458816182   25.630536107
    2.199114858  -21.941474294    3.261682907
    2.303834613  -22.770135602  -18.746435891
    2.408554368  -25.772107192  -38.001122687
    2.513274123  -30.584901797  -53.142858364
    2.617993878  -36.718887955  -63.126168608
    2.722713633  -43.615285064  -67.719749444
    2.827433388  -50.727338021  -67.382177896
    2.932153143  -57.585333033  -63.000076789
    3.036872898  -63.836395598  -55.969590370
